b,T,B_eff,B_over_kT,error_rate,crossing_rate,mean_drift,event_cost,flux_cost,maintain_cost,is_flux_driven
2.090909090909091,2.2555555555555555,1.0929751,0.48457026,0.0744192,0.0099776,0.5279970238134265,0.08133834,1.190926620379173,1.190926620379173,True
2.090909090909091,2.5,1.0929751,0.43719006,0.0940392,0.0114184,0.5814226273521781,0.10278251,1.4535565683804452,1.4535565683804452,True
2.409090909090909,0.3,1.4509299,4.836433,0.0001696,4e-05,0.14308625307306647,0.0002460777,0.04292587592191994,0.04292587592191994,True
2.409090909090909,0.5444444444444445,1.4509299,2.6649733,0.0013216,0.0003784,0.19867298469692468,0.0019175491,0.10816640277943679,0.10816640277943679,True
2.409090909090909,0.788888888888889,1.4509299,1.8392069,0.0065776,0.0014416,0.2603194119259715,0.009543636,0.20536309163048866,0.20536309163048866,True
2.409090909090909,1.0333333333333334,1.4509299,1.4041257,0.01696,0.0027816,0.3176399412602186,0.024607772,0.32822793930222594,0.32822793930222594,True
2.409090909090909,1.277777777777778,1.4509299,1.1355103,0.0246824,0.0039608,0.3611206269711256,0.035812434,0.4614319122408828,0.4614319122408828,True
2.409090909090909,1.5222222222222224,1.4509299,0.95316553,0.0325784,0.004868,0.3996921340376139,0.047268976,0.608420248479479,0.608420248479479,True
2.409090909090909,1.7666666666666668,1.4509299,0.82128114,0.047156,0.0058744,0.4440345113053918,0.068420045,0.7844609699728589,0.7844609699728589,True
2.409090909090909,2.011111111111111,1.4509299,0.7214569,0.0593352,0.0073648,0.48523965653777124,0.08609121,0.975870864814851,0.975870864814851,True
2.409090909090909,2.2555555555555555,1.4509299,0.6432694,0.0707072,0.0083808,0.5233724355697632,0.102591194,1.1804956046740214,1.1804956046740214,True
2.409090909090909,2.5,1.4509299,0.580372,0.0787584,0.009512,0.5572716145589948,0.11427292,1.393179036397487,1.393179036397487,True
2.727272727272727,0.3,1.8595041,6.198347,0.0,3.2e-06,0.13165608828142286,0.0,0.03949682648442686,0.03949682648442686,True
2.727272727272727,0.5444444444444445,1.8595041,3.4154158,0.0006552,0.0002872,0.18903068277239798,0.0012183471,0.10291670506497225,0.10291670506497225,True
2.727272727272727,0.788888888888889,1.8595041,2.357118,0.005116,0.001056,0.2503224907666445,0.009513223,0.19747663160479734,0.19747663160479734,True
2.727272727272727,1.0333333333333334,1.8595041,1.7995201,0.006456,0.0015992,0.2776408594697714,0.0120049585,0.2868955547854305,0.2868955547854305,True
2.727272727272727,1.277777777777778,1.8595041,1.4552641,0.0186312,0.0027944,0.34069696932286025,0.03464479,0.4353350163569881,0.4353350163569881,True
2.727272727272727,1.5222222222222224,1.8595041,1.2215719,0.0269816,0.0039384,0.3838184187486768,0.050172396,0.5842569263174303,0.5842569263174303,True
2.727272727272727,1.7666666666666668,1.8595041,1.0525496,0.0362984,0.0052912,0.42440320962667466,0.06749703,0.749779003673792,0.749779003673792,True
2.727272727272727,2.011111111111111,1.8595041,0.9246153,0.0511848,0.0062392,0.47351449306309223,0.09517834,0.95229025827133,0.95229025827133,True
2.727272727272727,2.2555555555555555,1.8595041,0.8244107,0.0595288,0.0068152,0.5046387080326676,0.11069405,1.1382406414514614,1.1382406414514614,True
2.727272727272727,2.5,1.8595041,0.74380165,0.0695768,0.0081096,0.5394816616624594,0.12937835,1.3487041541561484,1.3487041541561484,True
3.0454545454545454,0.3,2.3186982,7.728994,0.0,4.8e-06,0.12493898804485798,0.0,0.037481696413457395,0.037481696413457395,True
3.0454545454545454,0.5444444444444445,2.3186982,4.2588334,0.0003456,9.84e-05,0.176186549924314,0.00080134213,0.09592378829212653,0.09592378829212653,True
3.0454545454545454,0.788888888888889,2.3186982,2.939195,0.00258,0.0004152,0.22642613234370948,0.0059822416,0.1786250599600375,0.1786250599600375,True
3.0454545454545454,1.0333333333333334,2.3186982,2.2439015,0.0070584,0.0012536,0.2701765579432249,0.0163663,0.2791824432079991,0.2791824432079991,True
3.0454545454545454,1.277777777777778,2.3186982,1.8146334,0.0107704,0.0019544,0.31170516756922007,0.024973307,0.3982899363384479,0.3982899363384479,True
3.0454545454545454,1.5222222222222224,2.3186982,1.5232322,0.0189656,0.0027696,0.35123210190981624,0.043975502,0.5346533106849426,0.5346533106849426,True
3.0454545454545454,1.7666666666666668,2.3186982,1.3124708,0.0321432,0.0043064,0.4131168563961983,0.074530385,0.7298397796332837,0.7298397796332837,True
3.0454545454545454,2.011111111111111,2.3186982,1.1529438,0.0379104,0.0048448,0.438216932579875,0.08790278,0.8813029421884152,0.8813029421884152,True
3.0454545454545454,2.2555555555555555,2.3186982,1.0279943,0.0464952,0.0056568,0.4720174082070589,0.10780834,1.0646614874003661,1.0646614874003661,True
3.0454545454545454,2.5,2.3186982,0.92747927,0.059736,0.0068264,0.5210205589532853,0.13850975,1.3025513973832132,1.3025513973832132,True
3.3636363636363638,0.3,2.8285122,9.428373,0.0,0.0,0.11732912255078554,0.0,0.03519873676523566,0.03519873676523566,True
3.3636363636363638,0.5444444444444445,2.8285122,5.1952267,0.0001264,9.36e-05,0.16630878184363246,0.00035752394,0.09054589233708879,0.09054589233708879,True
3.3636363636363638,0.788888888888889,2.8285122,3.585438,0.0015104,0.0003792,0.21046223592013122,0.004272185,0.16603131944810354,0.16603131944810354,True
3.3636363636363638,1.0333333333333334,2.8285122,2.7372699,0.0051416,0.0006672,0.2579282258823514,0.014543079,0.26652583341176317,0.26652583341176317,True
3.3636363636363638,1.277777777777778,2.8285122,2.2136183,0.0106096,0.001584,0.3003307242766023,0.030009381,0.3837559254645474,0.3837559254645474,True
3.3636363636363638,1.5222222222222224,2.8285122,1.8581465,0.0137904,0.00206,0.33273464889079335,0.039006315,0.5064960766448744,0.5064960766448744,True
3.3636363636363638,1.7666666666666668,2.8285122,1.6010448,0.0235,0.0030568,0.3832458756715059,0.066470034,0.6770677136863272,0.6770677136863272,True
3.3636363636363638,2.011111111111111,2.8285122,1.4064426,0.0302896,0.003884,0.41808675771206616,0.0856745,0.8408189238431553,0.8408189238431553,True
3.3636363636363638,2.2555555555555555,2.8285122,1.2540202,0.040372,0.0043944,0.45570342127233743,0.114192694,1.0278643835364945,1.0278643835364945,True
3.3636363636363638,2.5,2.8285122,1.1314049,0.052088,0.0052944,0.4940763270109892,0.14733154,1.235190817527473,1.235190817527473,True
3.6818181818181817,0.3,3.3889463,11.296488,0.0,0.0,0.11291162851825357,0.0,0.03387348855547607,0.03387348855547607,True
3.6818181818181817,0.5444444444444445,3.3889463,6.2245955,0.0,8.8e-06,0.15626314067840577,0.0,0.08507659881379871,0.08507659881379871,True
3.6818181818181817,0.788888888888889,3.3889463,4.2958474,0.0003032,0.0001288,0.19778476960211994,0.0010275285,0.1560302071305613,0.1560302071305613,True
3.6818181818181817,1.0333333333333334,3.3889463,3.2796257,0.0028128,0.0005064,0.23927835472673178,0.009532428,0.24725429988428954,0.24725429988428954,True
3.6818181818181817,1.277777777777778,3.3889463,2.6522188,0.0050328,0.000796,0.27213251891732215,0.01705589,0.347724885283245,0.347724885283245,True
3.6818181818181817,1.5222222222222224,3.3889463,2.226315,0.0139176,0.0016128,0.3217638854756951,0.047165997,0.48979613677966927,0.48979613677966927,True
3.6818181818181817,1.7666666666666668,3.3889463,1.9182717,0.0211016,0.002108,0.36123997636139393,0.071512185,0.6381906249051293,0.6381906249051293,True
